rank,artists,title
926,LOS PRINCIPALES DE NUEVO LEON,LIBERTAD
927,JOSE JOSE,EL AMAR Y QUERER
928,LA ORIGINAL BANDA EL LIMON,DERECHO DE ANTIGUEDAD
929,EL YAKI,VAS A VENIR LLORANDO
930,INTOCABLE,ERES MI DROGA
931,MARIACHI INTERNACIONAL CHG,BENDITO CUERPO
932,"ALEJANDRO FERNANDEZ,LOS TIGRES DEL NORTE",PARA SACARTE DE MI VIDA
933,BOBBY PULIDO,DESVELADO
934,LOS CAPIS DE SINALOA,EN SU LUGAR
935,CHICOS RK,ESTO SI ES CUMBIA
936,FIEVRE LOOKA,CUMBIA EN MOVIMIENTO
937,REMMY VALENZUELA,NADIE
938,CHRISTIAN NODAL,ME DEJE LLEVAR
939,JULION ALVAREZ,ASI FUE
940,LA ORIGINAL BANDA EL LIMON,EL MEJOR PERFUME
941,ROBERTO JR Y SU BANDEÑO,EL COCO
942,BANDA MS,A MI ME ESTA DOLIENDO
943,BANDA LOS RECODITOS,NO LE HAGO FALTA
944,LOS TIGRES DEL NORTE,LA MESA DEL RINCON
945,LUCERO,NECESITARIA
946,VIRLAN GARCIA,Y CAMBIO MI SUERTE
947,GERARDO ORTIZ,ERES UNA NIÑA
948,LOS CADETES DE LINARES,DOS CORONAS A MI MADRE
949,SIGGNO,SOLO AMAME
950,ARIEL CAMACHO Y LOS PLEBES DEL RANCHO,HABLEMOS
951,DUELO,VEN A MI CASA ESTA NAVIDAD
952,BANDA LOS RECODITOS,ME ESTA GUSTANDO
953,CHUY LIZARRAGA,LA PEINADA
954,CALIBRE 50,CONTIGO
955,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,SUPISTE HACERME MAL
956,"LA EXPLOSIVA BANDA DE MAZA,JORGE MEDINA",ENTREGATE
957,MARCO FLORES Y SU NUMERO 1 BANDA JEREZ,CANCION NAVIDEÑA
958,LOS TUCANES DE TIJUANA,RITMO NAVIDEÑO
959,RUTA 200,200 ROSAS
960,LOS PERDIDOS DE SINALOA,INVENTAME
961,LOS HIJOS DEL PUEBLO,SI TU TE VAS
962,"LUIS CORONEL,LA SEPTIMA BANDA",NO ES QUE ME GUSTES
963,JOAN SEBASTIAN,DISEÑAME
964,ICC,DÓNDE ESTARÁS
965,GRUPO LETAL,LAS 12:31
966,SELENA,BIDI BIDI BOM BOM
967,"LOS ANGELES AZULES,DENISE GUTIERREZ",EL LISTON DE TU PELO
968,ANGEL VENEGAS Y SU ORQUESTA CON SABOR,QUE PASARA MAÑANA
969,ROCIO DURCAL,AMOR ETERNO
970,VALENTIN ELIZALDE,COMO ME DUELE
971,LOS YES YES FT ABRAKADABRA FT METAL-CUMBIA FT THE VHALENS,VOY A BORRAR MI FACEBOOK (LA CUMBIA DEL FACEBOOK)
972,JULION ALVAREZ,TERRENAL
973,PEPE GOMEZ JR Y SU GRUPO UNION 82,EMBRUJO DE CUMBIA
974,JOAN SEBASTIAN,SECRETO DE AMOR
975,BANDA EL RECODO,HOMENAJE A UN PRINCIPE
976,SERGIO VEGA,COSAS DEL AMOR
977,DALIA SOSA,NO LA BESES
978,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,POR ENAMORARME
979,LOS SOCIOS DEL RITMO FT. MARCO DI MAURO,TE VI PARTIR
980,LOS ANGELES AZULES,EL LISTON DE TU PELO
981,HOMENAJE NORTEÑO,EL MUÑECO
982,CONJUNTO PRIMAVERA,NECESITO DECIRTE
983,BANDA COYULITOS,MUEVETE
984,BANDA MS,ES TUYO MI AMOR
985,BANDA LOS RECODITOS,PISTIARE
986,JULION ALVAREZ,LA MARIA
987,LOS INVASORES DE NUEVO LEON,LA MEJOR DE MIS TRAGEDIAS
988,GERARDO ORTIZ,PORQUE TERMINAMOS
989,SELENA,COMO LA FLOR
990,GERARDO ORTIZ,FUISTE MIA
991,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,QUE CARO ESTOY PAGANDO
992,PESADO,OJALA QUE TE MUERAS
993,"MIGUEL GALINDO,LUIS PADILLA",POR EL AMOR DE UNA MUJER
994,OSCAR BAKANO Y SU GRUPO JALADO,SI YO FUERA EL
995,VALENTIN ELIZALDE,TE QUIERO ASI
996,GRUPO PRIVADO,TE JURO QUE TE AMO
997,LA SONORA 100% PURO DINAMITA DE ANAIDITA,YO SOY LA AMANTE
998,MARCO ANTONIO SOLIS,MAS QUE TU AMIGO
999,CERTERO,TU YA ERES COSA DEL PASADO
1000,CALIBRE 50,TUS LATIDOS
1001,LOS TUCANES DE TIJUANA,PRUEBA SUPERADA
1002,LOS ZEMVERS,SIN TESTIGOS
1003,DADDY YANKEE,DEFINITIVAMENTE
1004,"JUAN GABRIEL,JULION ALVAREZ,J BALVIN",LA FRONTERA
1005,LOS TIRANOS DEL NORTE,HASTA LA MIEL AMARGA
1006,JENNI RIVERA,BASTA YA
1007,SERGIO VEGA,MILLONARIO DE AMOR
1008,VICENTE FERNANDEZ,ESTOS CELOS
1009,LA ARROLLADORA BANDA EL LIMÓN,LLAMADA DE MI EX
1010,ULICES CHAIDEZ Y SUS PLEBES,PORQUE ME ENAMORE
1011,LOS RELAMPAGUITOS,QUE TE VAYA BONITO
1012,BANDA MS,ME VAS A EXTRAÑAR
1013,JULION ALVAREZ,ESTA NOCHE SE ME OLVIDA
1014,JOAN SEBASTIAN,MAS ALLA DEL SOL
1015,DUELO,PUÑO DE DIAMANTES
1016,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,EL VIEJON
1017,INTOCABLE,FUERTE NO SOY
1018,JULION ALVAREZ,Y TU
1019,CALIBRE 50,LAS ULTRAS
1020,CELSO PIÑA FT. CAFE TACUBA,AUNQUE NO SEA CONMIGO
1021,LOS GILES,NUNCA PENSE LLORAR
1022,BANDA LOS RECODITOS,ME SOBRABAS TU
1023,BANDA PELILLOS,NO SABES LO QUE SE SIENTE
1024,"LOS ANGELES AZULES,PABLO LESCANO",LA CUMBIA DEL INFINITO
1025,PIPE BUENO,CONFESION
1026,T3R ELEMENTO,EN BOCA DE TODOS
1027,BANDA MS,MI OLVIDO
1028,J BALVIN,ROJO
1029,LOS ALEGRES DE LA SIERRA,DE RODILLAS TE PIDO
1030,LALO MORA,EL HOMBRE QUE MAS TE AMO
1031,MAXIMO GRADO,PASO A PASITO
1032,LOS TIGRES DEL NORTE,NI PARIENTES SOMOS
1033,GRUPO MOJADO,PIENSA EN MI
1034,ALFREDO OLIVAS,EL PROBLEMA
1035,SAUL EL JAGUAR,NUMERO EQUIVOCADO
1036,PEPE GOMEZ JR Y SU GRUPO UNION 82,MUJER DE MIEL
1037,EL BEBETO,NO TE CREAS TAN IMPORTANTE
1038,BANDABUCANERA,LLEGASTE A MI VIDA
1039,ALFREDO OLIVAS,LA SIGO Y ME SIGUE
1040,NELSON KANZELA,FIN DE SEMANA
1041,BANDA EL RECODO,PENA TRAS PENA
1042,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,UN APLAUSO
1043,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,HOMBRE LIBRE
1044,JENNI RIVERA,DE CONTRABANDO
1045,GERARDO ORTIZ,AMOR CONFUSO
1046,VICENTE FERNANDEZ,MUJERES DIVINAS
1047,BANDA CUISILLOS,MIL HERIDAS
1048,GRUPO LETAL,QUE LE VAYA BIEN
1049,BANDA EL RECODO,CADA VEZ TE EXTRAÑO MAS
1050,CONJUNTO PRIMAVERA,AVE CAUTIVA
1051,LORENZO TRUJILLO Y LA HERENCIA DE NUESTRA TIERRA,ADVERTIDA
1052,LOS PLEBEYOS,LO QUE TRAJE DE COLOMBIA
1053,KEVIN ORTIZ,TAL COMO ERES
1054,EL PLAN,TE TENGO QUE OLVIDAR
1055,INTOCABLE,DIA 730
1056,BANDA LA TRAKALOSA,MI PADRINO EL DIABLO
1057,"LOS HERMANOS VEGA,BETO ZAPATA",Y SI ALGUN DIA
1058,MIKE BALMORY,DI QUE NO
1059,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,DISFRUTE ENGAÑARTE
1060,EL CHAPO DE SINALOA,RECOSTADA EN LA CAMA
1061,PALOMO,NO ME CONOCES AUN
1062,LOS INVASORES DE NUEVO LEON,MI CASA NUEVA
1063,COLMILLO NORTEÑO,EL BUENO Y EL MALO FT BANDA TIERRA SAGRADA
1064,"DIABLOS LOCOS,BANDA KARRANGA",AMANTES
1065,FIEVRE LOOKA,YA LLEGA LA NAVIDAD
1066,BANDA LA ALTERNATIVA,SOLO LOS TONTOS
1067,"LA MAFIA,SEBASTIAN YATRA",ME ESTOY ENAMORANDO
1068,JULION ALVAREZ,NI LO INTENTES
1069,EL FANTASMA,LAS VERDADES
1070,LOS TIGRES DEL NORTE,SEÑOR LOCUTOR
1071,BETO BERNAL,SI QUIERES
1072,LIMITE,TE APROVECHAS
1073,SOBRECARGA NORTEÑA,ES FIN DE SEMANA
1074,MI BANDA EL MEXICANO,FELIZ FELIZ
1075,EFRAIN TOLEDO,LA LUZ DE TUS OJOS
1076,LOS GFEZ,LAS REGLAS DEL JUEGO
1077,ESPINOZA PAZ,LO INTENTAMOS
1078,LA POLAKA SHOW,MUEVE TU COLITA
1079,LIBERACION,COMO ESTAS TU
1080,GRUPO QUE NOTA,EL AMOR DE MI NENA
1081,DUELO,MALABARES
1082,SAMUEL ROSALES,HERMOSA
1083,JENNI RIVERA,A CAMBIO DE QUE (BANDA)
1084,ANA BARBARA,BANDIDO
1085,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,EN LA SIERRA Y LA CIUDAD (LA CHINA)
1086,KUMBIA KINGS,SABES A CHOCOLATE
1087,EL COYOTE Y SU BANDA,ARBOLES DE LA BARRANCA
1088,BANDA CARNAVAL,GENTE BATALLOSA
1089,IVAN TORRES,LA DUDA
1090,EL CHAPO DE SINALOA,LE HACE FALTA UN BESO
1091,"PESADO,CELSO PIÑA",LOCO (EN VIVO)
1092,GRUPO VARONIL,LA CREMA DE TORTUGA
1093,"ALICIA VILLAREAL,MARIA JOSE",SENTIMIENTOS
1094,LUZ MARIA,COMO TU MUJER
1095,JOSS FAVELA,ME HUBIERAS DICHO
1096,MARGARITA,CORAZON PARTIDO
1097,BANDA TORO,LA NOCHE QUE CHICAGO MURIO
1098,EL PERRON DE LA CUMBIA,CUMBIA PERREO
1099,BRONCO,ORO
1100,JOSS FAVELA,TE DIJE
1101,SONORA DE ANAIDITA,ES ELLA MAS QUE YO
1102,BRONCO,LIBROS TONTOS
1103,CELIA CRUZ,LA VIDA ES UN CARNAVAL
1104,LA TROPA VALLENATOS,LOS CAMINOS DE LA VIDA
1105,LOS RIELEROS DEL NORTE,MIL CADENAS
1106,LOS SHELES,RIKI TIKI
1107,LOS ANGELES AZULES FT. JAY DE LA CUEVA,17 AÑOS
1108,GRUPO CAÑAVERAL DE HUMBERTO PABON,LA NOCHE
1109,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,UN FIN EN CULIACAN (PERRON)
1110,MEXIKOLOMBIA,NO ME LLAMES MAS
1111,TITO Y LOS REYES DEL CAMINO,SOLAMENTE TU
1112,REMMY VALENZUELA,CARICIAS CLANDESTINAS
1113,ARNULFO LOPEZ,HAY QUE OLVIDAR
1114,SERGIO VEGA,QUIEN ES USTED
1115,ALEX FERNANDEZ,LO PRIMERO QUE HARIA
1116,CALIBRE 50,AUNQUE AHORA ESTES CON EL
1117,BANDA CUISILLOS,CANCHAME
1118,BANDA MS,A LO MEJOR
1119,SONORA DE ANAIDITA,RAMITO DE VIOLETAS
1120,BANDA LOS COYULITOS,LLUVIA
1121,VICENTE FERNANDEZ,HERMOSO CARIÑO
1122,SERGIO VEGA,DUEÑO DE TI
1123,PURO STILO,COPA TRAS COPA
1124,MARCO ANTONIO SOLIS,MI MAYOR NECESIDAD (A DONDE VAYAS)
1125,GRUPO VERSAX,ME VAS A ENLOQUECER
1126,LA SONORA DINAMITA,EL VIEJO DEL SOMBRERON
1127,LA PODEROSA BANDA SAN JUAN,AMORES PASAJEROS
1128,ARTURO JAIMES Y LOS CANTANTES,DE TIEMPO COMPLETO
1129,BANDA MS,LAS COSAS NO SE HACEN ASI
1130,ABRAHAM VAZQUEZ,LO TIENES TODO
1131,EL KOMANDER,MALDITAS GANAS
1132,"LUIS ANGEL EL FLACO,GRUPO FIRME",HASTA LA MIEL AMARGA
1133,LOS CARDENALES DE NUEVO LEON,MI COMPLICE
1134,LUIS ANTONIO LOPEZ EL MIMOSO,USTED ME AMO
1135,CHUY LIZARRAGA,RELACION CLANDESTINA
1136,PESADO,A CHILLAR A OTRA PARTE
1137,LA ARROLLADORA BANDA EL LIMÓN,ASI FUE
1138,EDWIN LUNA,SANTA CLAUS LLEGO A LA CIUDAD
1139,ESPINOZA PAZ,SI MAÑANA NO ME VEZ (HOMBRE NORMAL)
1140,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,QUE SE CANSE DE LLAMAR
1141,BANDA EL RECODO,Y LLEGASTE TU
1142,CHICAGO 5,NI QUE VALIERAS TANTO
1143,RETOÑOS DEL RIO,MUCHACHA DE LOS OJOS TRISTES
1144,ANGEL VENEGAS Y SU ORQUESTA CON SABOR FT. xFIS CUMBIA,ALMA DE ACERO
1145,VOZ DE MANDO,Y AHORA RESULTA
1146,PEDRO FERNANDEZ,YO...EL AVENTURERO
1147,MEXIKOLOMBIA,ALEJATE DE MI
1148,BANDA EL RECODO,ME GUSTA TODO DE TI
1149,BANDA EL RECODO,MI VICIO MAS GRANDE
1150,JOSE JOSE,LA NAVE DEL OLVIDO
1151,LOS INVASORES DE NUEVO LEON,LA PLAYA SOLA
1152,LA ARROLLADORA BANDA EL LIMÓN,SOBRE MIS PIES
1153,COSTUMBRE,SI ENCONTRASTE EL AMOR
1154,EL KOMANDER,EL PAPEL CAMBIO
1155,JOAN SEBASTIAN,SENTIMENTAL
1156,BANDA MS,EL PATRON
1157,ALEX FERNANDEZ,TE LO DIGO PORQUE TE CONOZCO
1158,EL FANTASMA,DOLOR Y AMOR
1159,IMPACTO DE MONTEMORELOS,EL CHISME (EL DEPORTE NACIONAL)
1160,LOS TIGRILLOS,CUANDO SEAS MIA
1161,SAUL EL JAGUAR,SOY DE LA CALLE
1162,LOS TIGRES DEL NORTE,LA MANZANITA
1163,LOS PRINCIPALES DE NUEVO LEON,DE QUE SIRVIO
1164,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,SERA QUE ESTOY ENAMORADO
1165,BRUNO DE JESUS,PARA QUE VOLVISTE
1166,"KARLA VALLIN,RAYMIX",TE QUITO LA PENA
1167,INTOCABLE,PERDEDOR
1168,DUELO,VENENO
1169,LOS ACOSTA,COMO UNA NOVELA
1170,CALIBRE 50,AGUAJE ACTIVADO
1171,"VALENTIN ELIZALDE,EL KOMANDER",TENGO GANAS
1172,EL PODER DEL NORTE,A ELLA
1173,ADAN ROMERO,AHORA TE AMO
1174,LOS CADETES DE LINARES,NO HAY NOVEDAD
1175,BANDA LA TRAKALOSA,SAN LUNES
1176,GRUPO CAÑAVERAL FT JENNY AND THE MEXICATS,TIENE ESPINAS EL ROSAL
1177,ALEXIS,QUE NO TE FALLE EL CORAZON
1178,BETO ZAPATA,"MI PADRE,MI MEJOR AMIGO"
1179,GERARDO ORTIZ,REGRESA HERMOSA
1180,LOS TUCANES DE TIJUANA,EL TUCANAZO
1181,LOS ROJOS,AGUA DE TE
1182,BANDA EL RECODO,INTIMAMENTE
1183,LA FIRMA,LA LLAMADA
1184,ANA BARBARA,TE METISTE
1185,EL KOMANDER,ME INTERESA
1186,SONORAMA,LA MALA VIDA
1187,RUBY ESCOBAR,SI QUIERO VOLVER
1188,LA ARROLLADORA BANDA EL LIMÓN,ENTREGAME TU AMOR
1189,PEQUEÑOS MUSICAL FT. LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,BOLA DE CRISTAL
1190,BRONCO,SERGIO EL BAILADOR
1191,CHALINO SANCHEZ,NIEVES DE ENERO
1192,GRUPO COKTEL,MAYORES
1193,VARIOS,VOLVER A VOLAR
1194,JOAN SEBASTIAN,ATEMPORAL (POEMA)
1195,LOS HIJOS DE BARRON,NIEGAME
1196,EL CHAPO DE SINALOA,HOLA MI AMOR
1197,LOS INQUIETOS DEL NORTE,MI AMIGO EL DE ARRIBA
1198,MI BANDA EL MEXICANO,QUE LE PASA A LUPITA
1199,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,EXPERTO MENTIROSO
1200,JULION ALVAREZ,PONGAMONOS DE ACUERDO
1201,ANTONIO AGUILAR,LAMBERTO QUINTERO
1202,MARGARITA,QUE NADIE SEPA MI SUFRIR
1203,MARCO ANTONIO SOLIS,INVENTAME
1204,BANDA EL RECODO,ACABAME DE MATAR
1205,JULION ALVAREZ,LA FORY FAY
1206,LOS YES YES FT. LOS HIJOS DEL PUEBLO Y LA VALENTÍA,NENA
1207,"JULION ALVAREZ,HANSEN FLORES",FINO PERO SORDO
1208,LA ARROLLADORA BANDA EL LIMÓN,CABECITA DURA
1209,JOAN SEBASTIAN,ESO Y MAS
1210,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ME FALTA UN CORAZON
1211,MARCO ANTONIO SOLIS,SINO TE HUBIERAS IDO
1212,AMERICA SIERRA,DE QUE ME SIRVE
1213,EL YAKI,DEJALO ASÍ
1214,BANDA CARNAVAL,COMO NO ADORARLA
1215,SONORA DE ANAIDITA,TABACO Y RON
1216,LOS HIJOS DE BARRON,CORTINAS GUINDAS
1217,BANDA LOS RECODITOS,ME ESTA TIRANDO EL ROLLO
1218,AARON Y SU GRUPO ILUSION,Y HOY TE VAS
1219,LA MAFIA,UN MILLON DE ROSAS
1220,BRONCO,CON ZAPATOS DE TACON
1221,"GRUPO CAÑAVERAL,MARIA LEON",NO TE VOY A PERDONAR
1222,LOS TIGRES DEL NORTE,HOY LE HABLO A DIARIO
1223,"BRONCO,ARMANDO MANZANERO",ADORO
1224,GRUPO COKTEL FT. GRUPO MOJADO,MOTIVOS
1225,GRUPO BRYNDIS,AMOR PROHIBIDO
1226,LUIS CORONEL,MI NIÑA TRAVIEZA
1227,LOS INVASORES DE NUEVO LEON,YA NO TE AMO
1228,VOZ DE MANDO,MUCHACHO DE CAMPO
1229,JOSE JOSE,"LO PASADO,PASADO"
1230,LIRICOS JR,LA CUMBIA DEL SERRUCHO
1231,GRUPO G,QUE LASTIMA
1232,BANDA TIERRA SAGRADA,ASI TE QUIERO YO
1233,BANDA LOS RECODITOS,ANDO BIEN PEDO
1234,ABRACADABRA,EN REALIDAD
1235,LA ARROLLADORA BANDA EL LIMÓN,MI SEGUNDA VIDA
1236,VICTORIA LA MALA,MEREZCO MUCHO MAS
1237,JULION ALVAREZ,OLVIDAME
1238,VICENTE FERNANDEZ,EL REY
1239,LOS TEMERARIOS,MI VIDA ERES TU
1240,VALENTIN ELIZALDE,EBRIO DE AMOR
1241,FEDE FIGUEROA,GANAS DE AMAR
1242,GERARDO ORTIZ,PERDONAME
1243,BANDA EL RECODO,DIME SI ME QUIERES
1244,MARCO ANTONIO SOLIS,A DONDE VAMOS A PARAR
1245,CONTROL,"TAO,TAO"
1246,"GENTE DE ZONA,GERARDO ORTIZ",OTRA BOTELLA
1247,BRONCO,LOS CASTIGADOS
1248,EL CHAPO DE SINALOA,PARA QUE REGRESES
1249,JOAN SEBASTIAN,CRUZANDO EL MAR
1250,LUIS MIGUEL,SANTA CLAUS LLEGO A LA CIUDAD
1251,JULION ALVAREZ,LAS MULAS DE MORENO
1252,INTOCABLE,CUIDARE
1253,XITLALI SARMIENTO,COMO LOS GATOS
1254,LOS TIGRES DEL NORTE,PEDRO Y PABLO
1255,VAGON CHICANO,VIERNES SIN TU AMOR
1256,LA ORIGINAL BANDA EL LIMON,ABEJA REYNA
1257,JOAN SEBASTIAN,UN IDIOTA
1258,VALENTIN ELIZALDE,Y SE PARECE A TI
1259,LIBERACION,ESE LOCO SOY YO
1260,LOS NIETOS,SE APAGO MI ESTRELLA
1261,VICENTE FERNANDEZ,POR TU MALDITO AMOR
1262,VAGON CHICANO,MILAGRO
1263,FIDEL RUEDA,Y TU QUE HARIAS
1264,LOS TIGRES DEL NORTE,CUESTION OLVIDADA
1265,LOS ALEGRES DE LA SIERRA,SI DIOS ME LLEVA CON EL
1266,GERARDO ORTIZ,QUIEN SE ANIMA
1267,MARCO ANTONIO SOLIS,LA VENIA BENDITA
1268,BANDA FRESA,EL GUAPO
1269,ALEJANDRO FERNANDEZ,COMO QUIEN PIERDE UNA ESTRELLA
1270,CONTROL,CUMBIA CON LA LUNA
1271,RAMON AYALA Y SUS BRAVOS DEL NORTE,UN RINCONCITO EN EL CIELO
1272,CALIBRE 50,EL TIERNO SE FUE
1273,LOS HURACANES DEL NORTE,NOMAS POR TU CULPA
1274,BANDA MS,SIN EVIDENCIAS
1275,LOS BUKIS,TU CARCEL
1276,Julian Hrndz,Mi guerrera
1277,LOS ROJOS,ASI ME DIVIERTO
1278,LOS DE LA NORIA,VOY A QUERERTE TANTO
1279,LIBERACION,ENAMORADO DE UN FANTASMA
1280,LOS SOCIOS DEL RITMO,EL AÑO VIEJO
1281,CAÑAVERAL DE PABON,TIENE ESPINAS EL ROSAL
1282,LOS TIGRES DEL NORTE,MI FANTASIA
1283,GRUPO CAÑAVERAL,SANTA CLAUS LLEGO A LA CIUDAD FT. LA ORIGINAL BANDA EL LIMON
1284,ALBERTO Y ROBERTO,TU FORMA DE SER
1285,EL PODER DEL NORTE,NI QUE VALIERAS TANTO
1286,CHRISTIAN FELIX Y SU MAXIMO GRADO,NO AMES
1287,SAUL EL JAGUAR,TE AMO MADRE
1288,LA ORIGINAL BANDA EL LIMON,SAL DE MI VIDA
1289,FIDEL RUEDA,ME ENCANTARIA (BANDA)
1290,BANDA TODO TERRENO,NO TE QUERIA PERDER
1291,KUMBIA KINGS,FUEGO
1292,KEVIN ORTIZ,NO HAY NINGUNA COMO TU
1293,VALENTIN ELIZALDE,LOBO DOMESTICADO
1294,LOS TIGRES DEL NORTE,JEFE DE JEFES
1295,BANDABUCANERA,LA DE LA MOCHILA AZUL
1296,LOS RIELEROS DEL NORTE,NO ME HAGAS MENOS
1297,BOBBY PULIDO,SE MURIO DE AMOR
1298,LOS CARNALES DE NUEVO LEON,EXPERTO EN AMORES
1299,BANDA LOS RECODITOS,HASTA QUE SALGA EL SOL
1300,RAMON AYALA Y SUS BRAVOS DEL NORTE,CASAS DE MADERA
1301,CHUY LIZARRAGA,CASADA O NO
1302,SERGIO MENDIVIL,NO ME MORIRE
1303,"BRONCO,RIO ROMA",SE ALINEARON LOS PLANETAS
1304,INTOCABLE,SOÑADOR ETERNO
1305,LIMITE,CON LA MISMA PIEDRA
1306,INTOCABLE,ENSEÑAME A OLVIDARTE
1307,DIEGO HERRERA,SI NO TE CONOCIERON
1308,LOS ANGELES AZULES,MI NIÑA MUJER
1309,LA MAFIA,ME ESTOY ENAMORANDO
1310,CALIBRE 50,PRESTAMELA A MI
1311,DANIYYEL VALENZUELA,LA CHOLE
1312,LOS PLEBEYOS,EL PIPIRIPAU
1313,LEANDRO RIOS FT BANDA TIERRA SAGRADA,DEBAJO DEL SOMBRERO
1314,ESPINOZA PAZ,A VECES
1315,LABERINTO,EL INDIO ENAMORADO
1316,GRUPO JALADO,QUE TE VAYA BIEN
1317,LOS MIER,TE AMO
1318,LOS TUCANES DE TIJUANA,JUEGO A LA VIDA
1319,GRUPO AROMA,AMOR DE TRES
1320,LOS INQUIETOS DEL NORTE,PARA MORIR FELIZ
1321,LA MAFIA,ESTAS TOCANDO FUEGO
1322,BANDA RENOVACION,TE HE PROMETIDO
1323,JORGE BRECEDA,YA NO SERE
1324,LOS HURACANES DEL NORTE,MI COMPLEMENTO
1325,ABEX TREVIÑO,ENTERATE
1326,VICENTE FERNANDEZ,EL HOMBRE QUE MAS TE AMO
1327,MI BANDA EL MEXICANO,NO BAILES DE CABALLITO
1328,LA SONORA DINAMITA,TU CUCU
1329,BANDA CARNAVAL,LA HISTORIA DE MIS MANOS
1330,JUAN GABRIEL,PORQUE ME HACES LLORAR
1331,JENNI RIVERA,AHORA QUE ESTUVISTE LEJOS
1332,MARIANO BARBA,ALIADO DEL TIEMPO
1333,BRONCO,QUE NO QUEDA HUELLA
1334,FIDEL RUEDA,ENHORABUENA
1335,PEPE GOMEZ JR Y SU GRUPO UNION 82,EL PIROPO
1336,OZUNA,HASTA QUE SALGA EL SOL
1337,PESADO,"TE QUIERO,TE AMO"
1338,DUELO,SENTIMIENTOS DE CARTON
1339,LA ARROLLADORA BANDA EL LIMÓN,NIÑA DE MI CORAZON
1340,FIDEL RUEDA,TU YA ERES COSA DEL PASADO
1341,BANDA ALTA POTENCIA,Y TODO PARA QUE
1342,BANDA TODO TERRENO,QUE SE AGARREN
1343,BANDA FRESA,LA NIÑA FRESA
1344,SERGIO VEGA,NECESITO DUEÑA
1345,CALIBRE 50,NI QUE ESTUBIERAS TAN BUENA
1346,LOS SOCIOS DEL RITMO,LLORAR
1347,JOSE FELICIANO,FELIZ NAVIDAD
1348,FIDEL RUEDA,SOY FELIZ
1349,VALENTIN ELIZALDE,SOY ASI
1350,BANDA LA MEJOR DE MICHOACAN,ME LO VAS A AGRADECER
1351,"LOS ANGELES AZULES,GIL CEREZO",COMO TE VOY A OLVIDAR
1352,REVANCHA NORTEÑA,TU MERO MERO
1353,JENNI RIVERA,LA GRAN SEÑORA
1354,VALENTIN ELIZALDE,VENCEDOR
1355,MONTÉZ DE DURANGO FT. DIANA REYES,FUISTE TU
1356,GRUPO FIRME,HASTA QUE UN DIA
1357,INTOCABLE,EL AMIGO QUE SE FUE
1358,"MALUMA,MARC ANTHONY",FELICES LOS 4 (SALSA VERSION)
1359,PESADO,NO VOY A DETENERTE
1360,BANDA MACHOS,ME LLAMO RAQUEL
1361,LOS ASKIS,TE DIGO VETE
1362,REGULO CARO,SERIA UN ERROR
1363,"Banda La Prendida de Mazatlán,Sinaloa.",Me Sigue Doliendo
1364,LA ARROLLADORA BANDA EL LIMÓN,HUELE A PELIGRO
1365,VAGON CHICANO,LA MONEDA
1366,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,LA PRINCESA
1367,JULION ALVAREZ,A DONDE QUIERA QUE VAYA
1368,LA ARROLLADORA BANDA EL LIMÓN,EL FINAL DE NUESTRA HISTORIA
1369,LA ORIGINAL BANDA EL LIMON,EL PRIMER LUGAR
1370,INTOCABLE,AMOR MALDITO
1371,GERMAN MONTERO,AMANTES ESCONDIDOS
1372,CALIBRE 50,LA GRIPA
1373,ALFREDO OLIVAS,TODO O NADA
1374,LOS GRANDES DEL PARDITO,QUE OCUPO
1375,JOSE BARRAZA,PALOMITA PALOMITA
1376,ALBERTO Y ROBERTO,LA DIVA
1377,LIMITE,AY PAPACITO
1378,LOS TIGRES DEL NORTE FT PAULINA RUBIO,GOLPES EN EL CORAZON
1379,BRONCO,EL SHERIFF DE CHOCOLATE
1380,LOS TIGRES DEL NORTE,LA CAMIONETA GRIS
1381,LA ORIGINAL BANDA EL LIMON,DI QUE REGRESARAS
1382,INTOCABLE,AIRE
1383,LOS TUCANES DE TIJUANA,AMOR PLATONICO
1384,BANDA EL RECODO,CONSECUENCIA DE MIS ACTOS
1385,JENNI RIVERA,CULPABLE O INOCENTE
1386,EL KOMANDER,DESCANSA MI AMOR
1387,ANGEL VENEGAS Y SU ORQUESTA CON SABOR,ERES LO MAS BELLO
1388,ULISES CHAIDEZ,TE REGALO
1389,BANDA LA MISMA TIERRA,LA RULETA
1390,EL BEBETO,CORAZON DE ACERO
1391,BANDA LEGAL,MI PEDACITO DE CIELO
1392,GERMAN MONTERO,NO ESTABAS EN MIS PLANES
1393,BANDA TIERRA MOJADA,La Tuba Gedionda
