"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"GABY ROMERO","","","","",1.0,1423,"EL CHICO DEL APARTAMENTO 512"
"SAUL EL JAGUAR",0.0,"","Luna
Tu que la vez
Dile
Cuanto la amo...

Luna
Tu que la vez
Dile
Cuanto la extraño...

Está noche
Se que ella está
Contemplandote
Igual que yo...
A través de ti
Quiero darle un beso...

Tu que sabes de soledad...
Aconsejale por favor...
De que vuelva
Convencela...
Te ruego...

Y ya sabe que es pa' usted mija
Ay, que bella

Luna...
Tú que la vez
Dile
Cuanto es que sufro...

Luna
Dile que...
Vuelva
Porque ya es mucho...

Tú que sabes en donde está
Acariciale con mi amor...
Dile que es a quien yo más...
Más quiero...

Tú que sabes por donde va
Iluminale con tu luz...
Su sendero, porque quizas... no es bueno...
No es bueno...
Quizas no es bueno...
Y dile que la quiero...

","MusicMatch",14.0,1424,"LA LUNA"
"JULION ALVAREZ Y SU NORTEÑO BANDA",0.0,"Latin / Regional Mexicano","No creas que por que ahora te vas
Pienses que voy a llorar
Por que vas a abandonarme
Te equivocas
Yo me puedo enamorar
Querer mejor que antes

Y sabes que te di mi amor y mi ser
No supiste agradecer
Que te quise mas que a nadie
Lo siento por que si alguien te hace llorar
Yo no soy el responsable

Y ahora marchate
No te detendre
Que en tu viaje, te vaya muy bien

Fuiste mía, solo mia
Pero ahora quieres irte
Marchate
Si lo nuestro olvidaste

Sabes que te di mi amor y mi ser
No supiste agradecer
Que te quise mas que a nadie
Lo siento por que si alguien te hace llorar
Yo no soy el responsable

Y ahora marchate
No te detendre
Que en tu viaje
Te vaya muy bien

Fuiste mía
Solo mía
Pero ahora quieres irte
Marchate
Si lo nuestro olvidaste

","MusicMatch",19.0,1425,"MARCHATE"
"MXP MAXIMO PODER","","","","",1.0,1426,"SI ME HUBIERAS QUERIDO"
"LOS TIGRES DEL NORTE",0.0,"Latin / Regional Mexicano","Que tal si eres tu, la mujer de mi vida
Sentada a mi lado aquí en este bar tomándose un trago
Ahogando las penas lo mismo que yo

Que tal si soy yo, el que encaje en tus días
Que tal si tus ojos se ven en los míos
Que tal si te beso, que tal si te invito mañana un café
Que tal si me cuentas lo que hiciste ayer

Hacía tanto tiempo que andabas aquí
En el mismo barrio en el mismo país
Doblando mi esquina tan cerca de mi
Pisando mis pasos, respirando el aire
Que yo en mis afanes deje para ti

Hacía tanto tiempo que andabas aquí
Te cruce mil veces y nunca te vi
Ahora que te encuentro tan cerca de mi
Y te veo en fotos en fotos de amigos
Amigos que nunca me hablaron de ti
Que tal si eres tu la mujer de mi vida
Que tal si soy yo el que encaje en tu días

Que tal si eres tu, la mujer de mi vida
Sentada a mi lado aquí en este bar tomándose un trago
Ahogando las penas lo mismo que yo
Que tal si te veo mañana a las dos

Hacia tanto tiempo que andabas aquí
En el mismo barrio en el mismo país
Doblando mi esquina tan cerca de mi
Pisando mis pasos, respirando el aire
Que yo en mis afanes deje para ti

Hacía tanto tiempo que andabas aquí
Te cruce mil veces y nunca te vi
Ahora que te encuentro tan cerca de mi
Y te veo en fotos en fotos de amigos
Amigos que nunca me hablaron de ti
Que tal si eres tu la mujer de mi vida
Que tal si soy yo el que encaje en tu días

La mujer de mi vida, el que encaje en tus días

","MusicMatch",23.0,1427,"QUE TAL SI ERES TU"
"LA ARROLLADORA BANDA EL LIMÓN",0.0,"Latin / Regional Mexicano","No te deseo mal
Porque te hayas marchado
A lo mejor de plano yo no era el indicado
Se fue la posibilidad de estar siempre a tu lado

Y no pierdas el tiempo
Tratando de olvidarme
Porque lo que vivimos no se olvida en una tarde
Y ya tarde será para recuperarme

Te van a platicar de mi
Y van a preguntar también
Que fue lo que pasó si se miraban tan felices
Y se mojarán tus ojos, tus ojitos hermosos

Te van a platicar de mi
Las noches y el sillón aquel
Que guardan los secretos que solo tú y yo sabemos
Y se mojarán tus ojos, tus ojitos hermosos

Y aunque quieras volver, ya no vas a poder
Yo ya te perdí la fe

Te van a platicar de mi
Y van a preguntar también
Que fue lo que pasó si se miraban tan felices
Y se mojarán tus ojos, tus ojitos hermosos

Te van a platicar de mi
Las noches y el sillón aquel
Que guardan los secretos que solo tú y yo sabemos
Y se mojarán tus ojos, tus ojitos hermosos

Y aunque quieras volver, ya no vas a poder
Yo ya te perdí la fe

","MusicMatch",23.0,1428,"YA TE PERDI LA FE"
"ALFREDO OLIVAS",0.0,"Latin / Regional Mexicano","Seguramente esperabas 
Que te hablara esta noche 
Tomado como en las anteriores 
Pero te diré algo ya no tomo 
Y si acaso una ocasión extraordinaria 
Me aseguro de borrar tú numero antes 

Seguramente publicas 
Todo lo que publicas 
Con el afán de darme en la madre 
Y tus comentarios 
Van con la consigna 
De acabarme pero para eso se ocupa 
Que tomes un curso donde yo doy las clases

Seguramente 
Y hasta inconscientemente 
Se te sale mi nombre 
De manera frecuente 
Y es que soy tu presente
Tu pasado y seguro 
Estoy en tu lista 
De metas a futuro

Sigues con el viejo truco 
De niña indiferente 
Pero te estas muriendo 
Porque te tenga enfrente 
Y vas a ver que hasta gritas 
Que me necesitas 
Apuesto que ya no podre salir de tu mente 
Que seré indispensable en tu vida 
Eso es seguramente

Seguramente 
Y hasta inconscientemente 
Se te sale mi nombre 
De manera frecuente 
Y es que soy tu presente
Tu pasado y seguro 
Estoy en tu lista 
De metas a futuro

Sigues con el viejo truco 
De niña indiferente 
Pero te estas muriendo 
Porque te tenga enfrente 
Y vas a ver que hasta gritas 
Que me necesitas 
Apuesto que ya no podre salir de tu mente 
Que soy indispensable en tu vida 
Eso es seguramente

","MusicMatch",21.0,1429,"SEGURAMENTE"
"EL KOMANDER",0.0,"Latin / Regional Mexicano","Encendí mi carro y sigues enojada
Voy a buscarte y quiero verte y abrazarte
La noche es fría muero por acariciarte
Cuando tu cariño tu tendrás que perdonarme

Por favor no cuelgues
Que pa' cuando llegue
Tú me vas a perdonar

Me conoces sabes que ando atravesado
Que bonito se oye el motor del cámaro
Ya voy a 80 y todavía no te contentas
Vamos a ver que pasa en 140

Sabes que te quiero
Que no soy perfecto
Y que muero por llegar

Corre adrenalina pura por mis venas
La velocidad me atrapa y me envenena
Saca tus cuentas ya tengo rato pisteando
Y yo me siento que apenas voy empezando

Sé que estás cansada
Muy decepcionada
Pero ya pienso cambiar

140 Y tú sigues encabronada
160 Y todavía me das la espalda
Esa espaldita que quiero que me reciba
Y te prometo que te quito lo aguerrida

No sigas gritando
Que ya voy llegando
Y tú no paras de pelear

El marcador dice que ya voy a 200
Y yo me muero por acariciar tu cuerpo
Voy a rifarmela en el paso de la muerte
Que el lo decida si arriba tengo que verte

Y si no te veo
Regalame un beso
Aquí por mi celular

","MusicMatch",20.0,1430,"POR FAVOR NO CUELGUES"
"BANDA LA NUEVA DECISION","","Brazilian","","",1.0,1431,"SI YA TE VAS"
"ALEJANDRO FERNANDEZ",0.0,"Latin / Regional Mexicano","Abrázame
Y no me digas nada sólo abrázame
Me basta tu mirada para comprender que tú te iras

Abrázame
Como si fuera ahora la primera vez
Como si me quisieras hoy igual que ayer
Abrázame

Si tú te vas te olvidarás que un día
Hacé tiempo ya cuando éramos aún niños
Me empezaste a amar y yo te di mi vida
Si te vas

Si tú te vas, ya nada será nuestro
Tu te llevarás en un sólo momento una eternidad
Me quedaré sin nada si tú te vas

Abrázame y no me digas nada
Sólo abrázame no quiero que te vayas pero se muy bien
Que tú te iras

Abrázame
Como si fuera ahora la primera vez
Como si me quisieras hoy igual que ayer
Abrázame

Si tú te vas, me quedará el silencio
Para conversar la sombra de tu cuerpo
Y la soledad serán mis compañeras si te vas

Si tú te vas, se irá contigo el tiempo
Y mi mejor edad te seguiré queriendo
Cada día más te esperaré a que vuelvas
Si tú te vas

","MusicMatch",23.0,1432,"ABRAZAME"
"LOS ANGELES AZULES",0.0,"","El amor de la madre es el más grande de los amores
Como es ninguno 

Cuándo uno tiene la dicha
De tenerla en vida 

De poderla abrazar y besar
De poder estar con ella es una gran felicidad 
Son momentos imborrables
En mi vida 

He inolvidables de mi corazón
He inolvidables de mi corazón 

Cuando uno ya no la tiene
Se arrepiente de muchas cosas 
Ya nada lo puede remediar
Pero ya nada lo puede remediar 

Tengo un remordimiento total
Aquí dentro de mí ser 
De las caricias que tenían mis padres
Y en su momento no los ayude 

Pedían un calor de unos hijos
Y no llegaba a cobijar
Y el que tiene ese amor de amores

Lo debe de querer
¡Hoy! 
Adorar
¡Hoy! 
Amar en vida
¡Hoy! 

Tengo un remordimiento total
Aquí dentro de mí ser 
De las carencias que tenían mis padres
Y en su momento no los ayude 

Pedían un calor de unos hijos
Y no llegaba a cobijar
Y el que tiene ese amor de amores

Lo debe de querer
¡Hoy! 
Adorar
¡Hoy! 
Amar en vida
¡Hoy! 

Hoy es el momento de llevarle flores
No cuando ya no viva
Hoy es momento de abrazar y besar 

A ese amor de amores
A ese amor de madres
A ese amor de madre

Nunca existirá
Nada que se le parezca

Nunca existirá
Nada que se le parezca

Nunca existirá
Nada que se le parezca

","MusicMatch",25.0,1433,"AMOR DE MIS AMORES"
"CORNELIO VEGA Y SU DINASTIA",0.0,"Latin / Regional Mexicano","Se te olvido
Todo el cariño que conmigo compartias
Se te olvidaron las canciones y los días
Sin mencionar las noches que te hize el amor
Se te borraron todas las fotos los mensajes de tu celular
Se te borraron las caricias eso si nunca podrás
Pero hay algo chiquitita que no podrás olvidar,

Que fui el primero corazón en darte un beso
El primer beso es el que nunca volvera
Y si lo niegas corazón te lo devuelvo
Pa' que te acuerdes de todito lo de mas
Se que me extrañas yo estoy muy seguro de eso
Y aunque lo quieras nunca podras encontrar
A quien sea como el primero

Se te borraron todas las fotos los mensajes de tu celular
Se te borraron las caricias eso si nunca podras
Pero hay algo chiquitita que no podras olvidar

Que fui el primero corazón en darte un beso
El primer beso es el que nunca volvera
Y si lo niegas corazón te lo devuelvo
Pa' que te acuerdes de todito lo de mas
Se que me extrañas yo estoy muy seguro de eso
Y aunque lo quieras nunca podras encontrar
A quien sea como el primero

","MusicMatch",18.0,1434,"EL PRIMERO"
"SONORA TROPICANA",0.0,"Music","Por qué me miras así 
Mientras me visto sin ti 
Recuerda bien este cuerpo 
Que fue tuyo a placer 
Para amar y engañar

Ya no te mojes los labios 
Y ni me insinúes tus ganas
Eres tan bello y sensual 
Que no sé si me iré 
Ahora o mejor después

Y yo que te deseo a morir 
Qué importa, esta es la última vez 
El orgullo puede esperar 
Pero me arrepiento, en el piso o donde sea
Y tómame

Qué bello cuando me amas así 
Y muerdes cada parte de mí
Qué bellos son tus celos de hombre 
Que sientes cada vez que me voy

Mientras me visto otra vez 
Tú me preparas un tè 
Y espero siempre escuchar 
Esa mentira usual que no me deja marchar

Confiado te acercas a mí 
Y bebo de tus manos el té 
Ay eres tan bello y sensual
Que no sé si me iré ahora o después

Y yo que te deseo a morir 
Qué importa, esta es la última vez 
El orgullo puede esperar 
Pero me arrepiento, en el piso o donde sea
Y tómame

Ay qué bello cuando me amas así 
Y muerdes cada parte de mí
Qué bellos son tus celos de hombre 
Que sientes cada vez que me voy

Ay ay qué bello
Ay mírate qué bello eres tú
Ay qué bello
Ay mírame, tócame, bésame tú

","MusicMatch",26.0,1435,"QUE BELLO"
"LOS YES YES FT FATIMA LA TIKIS TIKIS BY THE VHALENS","","","","",1.0,1436,"TUSA"
"GERARDO ORTIZ",0.0,"Latin / Regional Mexicano","Esa mirada me enamora
Esa sonrisa encantadora
Hechizando su fragancia
Me va matando la distancia
Por no verla
Por no tenerla

Quiero tenerla frente a frente
No me la saco de la mente
Robarle un beso de su boca
Aver si así la vuelvo loca
Pues la quiero
Me muero

Mañana voy a conquistarla
Aun para días enamorarla
Y vengo con ganas de besarla
Con mis brazos abrigarla
Sera mía
Noche y día
Que alegría
Consentirla

Quiero decirle lo que siento
Esperare un momento
La magia de un beso fugaz
Para que se enamore mas
Ya no aguanto la quiero tanto

Mañana voy a conquistarla
Aun para días enamorarla
Y vengo con ganas de besarla
Con mis brazos abrigarla
Sera mía
Noche y día
Que alegría
Consentirla

","MusicMatch",22.0,1437,"MAÑANA VOY A CONQUISTARLA"
"BANDA PEQUEÑOS MUSICAL",0.0,"Latin / Regional Mexicano","Pasan los recuerdos, pasan los paisajes
Ya voy acercándome a ti
El tiempo se agota, pronto cae la tarde
Enciendo las luces al fin

Miro hacía el tablero y los números necios
Me dicen que hay infracción
La cifra es de 80 y voy a 130
Lleno de desesperación

Pero voy contento, ya estoy regresando
En todo este tiempo te estuve extrañando,
Vivía de recuerdos en la lejanía
Siempre amándote a ti.

Traigo las maletas llenas de ilusiones
Y los sentimientos llenos de emociones
Estando tan lejos tu me hiciste falta
Estoy regresando a ti

Pasan los recuerdos, pasan los paisajes
Ya voy acercándome a ti
El tiempo se agota, pronto cae la tarde
Enciendo las luces al fin

Miro hacía el tablero y los números necios
Me dicen que hay infracción
La cifra es de 80 y voy a 130
Lleno de desesperación

Pero voy contento, ya estoy regresando
En todo este tiempo te estuve extrañando,
Vivía de recuerdos en la lejanía
Siempre amándote a ti.

Traigo las maletas llenas de ilusiones
Y los sentimientos llenos de emociones
Estando tan lejos tu me hiciste falta
Estoy regresando a ti

","MusicMatch",19.0,1438,"REGRESANDO"
"JOAN SEBASTIAN",1.0,"","Me voy a comprar un perro 
Pa no sentirme tan solo
Y no lo digo con dolo 
Ya ven que el perro sí es fiel
No como el amor aquel que me partió media madre

Hoy
Hoy no hay perro que me ladre, colmillo que roe este hueso
Eso es muy triste, por eso me brota este sentimiento
Que va desde el pensamiento hasta la punta del pie

Preguntáranse por qué si la vida es tan hermosa
No me jalo a una mocosa de esas que se oyen gritar
De esas que tienen el pecho erguido como aquel cerro
Ay Dios
Quién fuera becerro para acabarse de criar

No, 
No vayan a pensar que soy tan libidinoso
Soy muy humano, las gozo pero no me hacen feliz
Traigo vacío el veliz y traigo el alma bien flaca
Vivir así vale, shit
Así no quiero vivir

Me voy a comprar un perro para que aúlle en mis noches
Pa que ahuyente los reproches que llegan de madrugada
Cuando le digo a mi almohada 
Que la amo y no me contesta

Y soledad hace fiesta, fiesta muda y socarrona
La soledad
La soledad es cabrona y no la voy a aguantar
Mejor me voy a comprar un perro como he pensado
Pa que se muera a mi lado 
O yo muera al lado de él

","MusicMatch",30.0,1439,"ME VOY A COMPRAR UN PERRO"
"BANDA EL RECODO",0.0,"Latin / Regional Mexicano","Mujer mujer, 
Tu nombre me encanta a mí y al corazón 
Tú me has robado la paz del alma
Entrégame tu amor 

Ya no Me hagas suspirar 
Mira y que te amo 
Y te adoro sin cesar

Tú me has robado
La inquietud del alma 
Tu me has robado 
La paz y el corazón
Entrégame tu amor

Ya no me hagas suspirar 
Mira y que te amo
Y te adoro sin cesar

Y ay mujer, mujeres
Ya tendrá aquí serenata mamacita
Pero con la Banda el Recodo oiga
De Don Cruz Lizárraga
La llegüa
Uhh

Tú me has robado
La inquietud del alma 
Tú me has robado 
La paz y el corazón
Entrégame tu amor

Ya no me hagas suspirar 
Mira y que te amo
Y te adoro sin cesar

","MusicMatch",23.0,1440,"MUJER MUJER"
"BANDA MACHOS",0.0,"Latin / Regional Mexicano","Íbamos a la bolenda
Íbamos a la bolenda
De pronto veo venir cerquita de mí
Yo vi a una culebra mirando hacia mí
Y yo grité: ay, la culebra!
Y yo grité: ay, la culebra!

La gente salió huyendo mirándome enojados
Toditos asustados comenzaron a gritar
Huye, José!, huye, José!
Ven pa'ca
Cuidado con la culebra que muerde los pies
Ay, si me muerde los pies
No puedo yo bailar si me muerde los pies
Ya no voy a poder gozar

Echa pa'lla!, ven, pa'ca
Cuidado con la culebra que muerde los pies
Ay, si me muerde los pies
Yo la quiero acurrucar si me muerde los pies
Yo la tengo que matar

Echa pa'lla, ven, pa'ca
Cuidado con la culebra que muerde los pies

Yo grité: ay, la culebra!
Y yo grité: ay, la culebra!

La gente salió huyendo mirándome enojados
Toditos asustados comenzaron a gritar
Huye, José!, huye, José!
Ven pa'ca
Cuidado con la culebra que muerde los pies
Ay, si me muerde los pies
No puedo yo bailar si me muerde los pies
Ya no voy a poder gozar

Echa pa'lla, ven, pa'ca
Cuidado con la culebra que muerde los pies
Ay, si me muerde los pies
Yo la quiero acurrucar si me muerde los pies
Yo la tengo que matar

Echa pa'lla, ven, pa'ca
Cuidado con la culebra que muerde los pies

","MusicMatch",19.0,1441,"LA CULEBRA"
"BANDA SANTA Y SAGRADA,CRISTIAN BETTER",0.0,"Latin","Un te amo no es suficiente
Se me confunde entre tanata gente
Yo en cambio necesito una palabra
Que diga la verdad

Mi sentimiento es algo distinto
Es algo que ya ni me lo explico
Y hoy debo confesarte
Que lo que siento es mucho mas

Yo ya no te amo
Es mucho mas que eso
Necesito de tu alma
No me alcanza con tus besos

Y yo ya no te amo
Me derrito en tu mirada
Eres dueña de mi aliento
Eres dueña de mi cama

Y yo ya no te amo
Y es mas grande lo que siento
Y yo ya no te amo
Necesito de tu aliento

Los dias no me alcanzan
El tiempo se me pasa
Haces nuevo mi universo
Eres todo, eres mi casa

Ay! yo necesito
Encontrar una palabra
Para este sentimiento

Y es que el idioma
Se me queda corto
Y yo mejor la invento

Yo ya no te amo
Y es mucho mas que eso
Necesito de alma
No me alcanza con tus besos

Y yo ya no te amo
Me derrito en tu mirada
Eres dueña de mi aliento
Eres dueña de mi cama
Ay! eres dueña de mi cama

Cristian Better
Sumbalo

Mi sentimiento es algo distinto
Es algo que ya ni me lo explico
Y hoy debo confesarte
Que lo que siento es mucho mas

Yo ya no te amo
Y es mucho mas que eso
Necesito de alma
No me alcanza con tus besos

Y yo ya no te amo
Me derrito en tu mirada
Eres dueña de mi aliento
Eres dueña de mi cama

Y yo ya no te amo
Y es mas grande lo que siento
Y yo ya no te amo
Necesito de tu aliento

Los dias no me alcanzan
El tiempo se me pasa
Haces nuevo mi universo
Eres todo, eres mi casa

Ay! yo necesito encontrar una palabra
Para este sentimiento
Y es que el idioma se me queda corto
Y yo mejor la invento

Yo ya no te amo
Necesito de tu alma
No me alcanza con tus besos

Y yo ya no te amo
Me derrito en tu mirada
Eres dueña de mi aliento
Eres dueña de mi cama

Ay! eres dueña de mi cama
Mi cama

","MusicMatch",7.0,1442,"YA NO TE AMO"
"LA HERMANDAD",0.0,"","","MusicMatch",4.0,1443,"VEN A CANTAR"
"BANDA MS","","","Tu prefieres lo informal y yo
Yo ando en busca de algo serio
Soy un hombre con criterio
Y la oferta no me intereso

La propuesta de un amor express
Se dirige a una aventura
Ya conoces mi postura
Y no me rebajaré

Así no funciona mi ideología
Estás reprobada en psicología
Si estoy en tu lista elimíname
Que no pararemos ni en un café

Rechazo y condeno cualquier propuesta
No seré el payaso en ninguna fiesta
Yo solo ambiciono una niña bien
Que no sea por dentro un vagón de tren

Tu prefieres diversión y yo
Yo he soñado una pareja
Aunque levantes la ceja
De juguete no debutaré

La propuesta de un amor express
Se dirige a una aventura
Ya conoces mi postura
Y no me rebajaré

Así no funciona mi ideología
Estás reprobada en psicología
Si estoy en tu lista elimíname
Que no pararemos ni en un café

Rechazo y condeno cualquier propuesta
No seré el payaso en ninguna fiesta
Yo solo ambiciono una niña bien
Que no sea por dentro un vagón de tren

Así no funciona mi ideología
Estás reprobada en psicología
Si estoy en tu lista elimíname
Que no pararemos ni en un café

Rechazo y condeno cualquier propuesta
No seré el payaso en ninguna fiesta
Yo solo ambiciono una niña bien
Que no sea por dentro un vagón de tren

","Google","",1444,"AMOR EXPRESS"
"INTOCABLE",0.0,"Latin / Regional Mexicano","Hoy me hablas
Pa' decirme que me nunca me olvidaste que me amas
Disimulas porque otros planes no te resultaron
Y sé bien que es que no te fue muy bien en otras camas

No te odio
Mucho menos me alegro de lo mal que la has pasado
Pero no te me vuelvas a acercar, no tiene caso
Porque no quiero verte nunca más, lo tengo claro

Te perdono
Si las lágrimas vuelven desde el suelo hasta mis ojos
El día que se me pase que por ti pasé de todo
Te perdono
Si un día traes a Dios hasta mi puerta, te perdono

Te perdono
Cuando vuelva a sentir aquel amor que sepultaste
Cuando borres del mundo todo aquel a quien besaste
Sí, yo te perdono
Cuando vea que a tus ojos salen lágrimas de sangre
Ese día te perdono

No es mi culpa
Sepultaste mi amor y ahora descubres que era bueno
Te acostaste con medio mundo y quieres que te abrace
Como darte agua fresca si tú me diste veneno

Te perdono
Si las lágrimas vuelven desde el suelo hasta mis ojos
El día que se me pase que por ti pasé de todo
Te perdono
Si un día traes a Dios hasta mi puerta, te perdono

Te perdono
Cuando vuelva a sentir aquel amor que sepultaste
Cuando borres del mundo todo aquel a quien besaste
Sí, yo te perdono
Cuando vea que a tus ojos salen lágrimas de sangre
Ese día te perdono

","MusicMatch",22.0,1445,"TE PERDONO"
"VICENTE FERNANDEZ",0.0,"Latin / Regional Mexicano","Este amor apasionado, anda todo alborotado, por volver.
Voy camino a la locura y aunque todo me tortura, se querer.

Nos dejamos hace tiempo pero me llego el momento de perder
Tu tenias mucha razon, le hago caso al corazon y me muero
Por volver.

""Y volver, volver, volveeer a tus brazos otra vez, llegare hasta donde estes
Yo se perder, yo se perder, quiero volver, volver, volver.""

Nos dejamos hace tiempo pero me llego el momento de perder
Tu tenias mucha razon, le hago caso al corazon y me muero por volver.
""Y volver volver, volver a tus brazos otra vez, llegare hasta donde estes
Yo se perder, yo se perder, quiero volver, volver, volver.

","MusicMatch",24.0,1446,"VOLVER VOLVER"
"DJ ESLI,DAREK SOTELO","","","","",17.0,1447,"SAXOSUELTA ORIENTE TRIBE"
"LOS YONIC´S","","","","","",1448,"SI LE DICES QUE SI"
"JULION ALVAREZ","","","Ahí va el borrachito 
Toma tequila, toma coñac 
Toma charanda, toma lo que hay 

Una cerveza se va a empedar
Con una cubita se va a curar
Con un whiskyto va a rematar

El borrachito
Ahí va el borrachito
El borrachito
Ahí va el borrachito

El borrachito quiere tomar
Cualquier pretexto pa' festejar
Y luego luego quiere bailar

Se le traban las patas
Se le lengua la traba
No tiene hierba para pistear

El borrachito quiere tomar
Cualquier pretexto pa 'festejar
Empina todo y quiere más

Borrachín, borrachito
Amigo del pueblito
Le dicen el chupito
Me agüita el ah

Ahí va el borrachito
Toma tequila, toma coñac
Toma charanda, toma lo que hay

Con cerveza se va a empedar
Con una cubita se va a curar
Con un whiskyto va a rematar

El borrachito
Ahí va el borrachito
El borrachito
Ahí va el borrachito

El borrachito quiere tomar
Cualquier pretexto pa' festejar
Y luego luego quiere bailar

Se le traban las patas
Se le lengua la traba
No tiene hierba para pistear

El borrachito quiere tomar
Cualquier pretexto pa' festejar
Empina todo y quiere más

Borrachín, borrachito
Amigo del pueblito
Le dicen el chupito
Me agüita el ah

","Google","",1449,"EL BORRACHITO"
"RIGO TOVAR",0.0,"Latin / Regional Mexicano","Ahora que siento que ya estoy cansado,
Que me estoy muriendo, y estoy preocupado
Oye abogado quiero que me escuches,
Estoy acabado, y es de tanto amor
Quiero que entiendas y a la vez comprendas,
Y escribas la herencia que voy a dejar,
Grabo los nombres para que no exista,
Ninguna razón de alguna confusión

Asunción le dejo aquí mi corazón,
A Maria toda, toda mi alegría
Un millón de abrazos para Concepción,
A Teresa toda, toda  mi tristeza
A La fiel Leticia todas mis caricias,
Y al cruel Amparo nada por infiel
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas contentas)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas sonriendo)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas gozando)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas contentas)

Quiero que entiendas y a la vez comprendas,
Y escribas la herencia que voy a dejar,
Grabo los nombres para que no exista,
Ninguna razón de alguna confusión

Asunción le dejo aquí mi corazón, a Maria toda,
Toda mi alegría
Un millón de abrazos para Concepción,
A Teresa toda, toda  mi tristeza
A La fiel Leticia todas mis caricias,
Y al cruel Amparo nada por infiel
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas contentas)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas sonriendo)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas gozando)
Y es mi testamento que ahora formule,
(Y vas a dejarlas a todas contentas)

","MusicMatch",18.0,1450,"EL TESTAMENTO"
"BRONCO",1.0,"Latin / Regional Mexicano","","MusicMatch",22.0,1451,"AMIGO BRONCO"
"JAIME Y FERNANDO","","","","",1.0,1452,"SI TU ACEPTAS"
"BANDA EL RECODO",0.0,"Latin / Regional Mexicano","","MusicMatch",23.0,1453,"AYER Y HOY"
"CASIMIRO MORENOY SU TIERRA PA LAS MATAS","","","","",1.0,1454,"EL PA RA RA"
"BANDA LA MISMA TIERRA",0.0,"Latin / Regional Mexicano","A parte de ser tan bonita
¿A que más te dedicas?
No te pierdo de vista
Más con esa sonrisa

A parte de entrar en mis sueños
¿Qué más es de tu vida?
Si me hablan, yo te entiendo
Yo hago lo que tú digas

A todos se les hace raro
Porque me ven hablando solo

Me dijo el desayuno, ¿por qué no te he invitado?
Está enojado el tiempo, porque juntos no estamos
Me preguntó mi cama, ¿por qué no te he llevado?
Me dijeron las ganas, que estamos esperando

Le pregunte al espejo, que ¿cómo nos miramos?
Me dijo que perfectos
¿Por qué pensarla tanto?

Gritar tu nombre al cielo
Es como estar volando
Ya caímos en cuenta
Mi corazón y yo
Que nos enamoramos

Me dijo el desayuno, ¿por qué no te he invitado?
Está enojado el tiempo, porque juntos no estamos
Me preguntó mi cama, ¿por qué no te he llevado?
Me dijeron las ganas, que estamos esperando

Le pregunte al espejo, que ¿cómo nos miramos?
Me dijo que perfectos
¿Por qué pensarla tanto?

Gritar tu nombre al cielo
Es como estar volando
Ya caímos en cuenta
Mi corazón y yo
Que nos enamoramos

","MusicMatch",14.0,1455,"EL DESAYUNO"
"LOS CORCELES DE LINARES",0.0,"Country","Y así suenan los Corceles de Linares, primo
Con tu compa Edwin Luna
De la Trakalosa de Monterrey, oh

Buenas noches mis amigos
Les traigo una historia cierta
Lo que le pasó a un troquero
Que le dio ride a una muerta

Ayer tarde me encontré
A una chica 240
Y le dije que si cuándo 
La llevaba a dar la vuelta

Yo le dije cuando quieras
Ella me dijo mañana
A las 8 de la noche 
Vas por mi allá con mi hermana

Y me dio besito ¿donde?
Y se dio la vuelta
Y desde ese día la traigo muerta
La traigo muerta la traigo muerta
La traigo muerta

Es una chica 240, 240, 240
Osea 90, 60, 90

No soy guapo no soy feo
Sino todo lo contrario
Soy suertudo en los amores
Sobre todo allá en mi barrio

Ayer tarde me encontré
A una chica 240
Y le dije que si cuándo 
La llevaba a dar la vuelta

Yo le dije cuando quieras
Ella me dijo mañana
A las 8 de la noche 
Vas por mi allá con mi hermana

Y me dio un besito ¿dónde?
Y se dio la vuelta 
Y desde ese día la traigo muerta 
La traigo muerta, la traigo muerta 
La traigo muerta

Es una chica 240, 240, 240
Osea 90, 60, 90

Y me dio un besito ¿dónde?
Y se dio la vuelta 
Y desde ese día la traigo muerta 
La traigo muerta, la traigo muerta 
La traigo muerta

Es una chica 240, 240, 240
Osea 90, 60, 90

","MusicMatch",8.0,1456,"LA CHICA 240"
