N°,artists,explicit,genre,lyric,musixmatch_rating,rank,title,Violencia verbal,Violencia Física,Violencia Psicológica,Violencia Sexual,VIolencia Económica,Violencia Simbólica,Apto para niñxs,clase,Observacion
419,LUCKY BOSSI,,,,1.0,376,POMPEO,,,,,,,,0,
420,LOS TITANES DE DURANGO,,Latin,,19.0,377,ME VOLVI A ENAMORAR,,,,,,,,0,
421,CORNELIO VEGA Y SU DINASTIA,0.0,,"No me hacen tus amenazas
Si te quieres ir pues vete
Entiendo bien lo que pasa
Y no voy a detenerte
Se agotaron las palabras
El amor que yo te daba
Mis ganas de convencerte

Un buen cuerpo y buena cara
Los consigo en otro lado
Yo no estoy para rogarte
Menos aguantar tus teatros
Que solo vas a dejarme
Me parece interesante
Creo que ya te estás tardando
...


 ",22.0,378,HAZ LO QUE QUIERAS,0,0,1,0,0,1,0,1,
422,BANDA PEQUEÑOS MUSICAL,0.0,,"Y llegamos de nuevo
Pe-pe-pe pequeños
Y agarra tu pareja, pariente
Pe-pe-pe pequeños

Ritmo sabroso que estás escuchando
Y con los pequeños lo vas a gozar
Ritmo sabroso está muy pegajoso
Está muy encajoso y te va a gustar

Ritmo sabroso que estás escuchando
Y con los pequeños lo vas a gozar
Ritmo sabroso está muy pegajoso
Está muy encajoso y te va a gustar
...


 ",21.0,379,COGIENDO LA MANO,0,0,0,0,0,0,1,1,
423,LUIS ANTONIO LOPEZ EL MIMOSO,0.0,Latin / Regional Mexicano,"En mi humilde opinion, la volviste a regar admitelo
Que mal te viste ayer burlanote de mi
Aceptalo, tu crees que no note
Las miradas perdidas que le echabas a el

Admitelo, aceptalo
Ahora que perdiste un hombre bueno que te amaba
Y que te dio todito el corazón porque te adoraba
De que sirvio amar a un cariño así que no valia nada

...


 ",18.0,380,ADMITELO ACEPTALO,0,0,1,0,0,0,0,1,
424,LA PODEROSA BANDA SAN JUAN,0.0,Latin / Regional Mexicano,"Ahí vas con el mismo cuento
Que no te dedico tiempo,
Que nomas te busco cuando
Tengo ganas de tu cuerpo,
Que quisieras olvidarme,
Pero sabes bien que nadie
Podrá superar mis besos.

Dices que yo no te quiero
Mientras que por ti me muero
Pero no puedo hacer nada pues
Ella llego primero, tú bien sabes
Que te adoro no puedes culparme solo
De algo que los dos sabemos.

Que no llegamos ni a la cama
Cuando rompes mi camisa
...


 ",18.0,381,MIENTRAS TU ME LO PERMITAS,0,0,0,1,0,0,0,1,
425,EL PANTERA DE CULIACAN,,,,,382,TE SIGO AMANDO,,,,,,,,0,
426,ALAN PINEDA,,Music,,1.0,383,INVENTAME,,,,,,,,0,
427,"GRUPO FIRME, BANDA COLOSO",0.0,Latin / Regional Mexicano,"¡Jálese, viejo!

Anoche me preguntaron: ¿Qué paso con tu cariño?
Y les contesté la neta: ""Traigo broncas con Cupido""
El amor no fue pa' mí, el amor no fue pa' mí
Pa' mí el pisto y los corridos
Sé que el alcohol me hace daño, pero ya lo perdoné

Dos, tres días, anduve triste, más lueguito te olvidé
Pa' tomar quería un pretexto, pa' tomar quería un pretexto
Y, contigo, lo encontré

Véndanme una llenadera porque dicen mis amigos
¡Salud, viejo!
...


 ",75.0,384,EL AMOR NO FUE PA MI,0,0,0,0,0,0,0,0,
428,BANDA PEQUEÑOS MUSICAL,0.0,Latin / Regional Mexicano,"Casi amante, casi amiga
Casi todo, casi loca
Espera mi regreso como pocas
Cada lunes al amanecer

Y en el cuarto nos amamos,
Nos odiamos, nos mareamos
Para ella nada es demasiado,
Y no me deja dormir

Todos tenemos un amor
Que nos complica la vida
Todos tenemos un amor
Que nos rompe el corazón
Y nos complica la vida

Todos tenemos un amor
Que nos complica la vida
...


 ",21.0,385,TODOS TENEMOS UN AMOR,0,0,0,0,0,0,0,0,
429,LOS SOCIOS DEL RITMO FT MATUTE,,,,18.0,386,POPURRI DE LAS CARRETAS,,,,,,,,0,
430,EXTERMINADOR,0.0,Latin / Regional Mexicano,"Abranle la pista ay viene bailando el santa claus
Jo jo jo jo jo jo
Abranle la pista au viene bailando el santa claus
Jo jo jo jo jo jo

Santa no tiene pareja
Ni quien le estorbe
Mucho menos
Que se la hagan de toooooos

Pongan atención porque no es el vacilon
Porque va a bailar el panzon
Mueve la cintura con mucha sabrosura
Baila 1 hora por semana
Le desecha la gordura
Con éste ritmo baile
Del santa clasu

Un paso pa delante y un paso para atras
Sume la pancita y vuelvela a sacar
Brinca la vueltita y vuelve a comenzar
Otro paso pa adelante y otro paso para atrás

Pero mira mira mira mira mira mira
Como mueve la panza el santa claus
Jo jo jo jo jo jo
Abranle la pista ay viene bailando el santa claus
Jo jo jo jo jo jo

A ver pongan todos atencion

Los que traigan camisa de seda
Que hagan una rueda
...


 ",18.0,387,EL BAILE DE SANTA CLAUS,0,0,0,0,0,0,1,1,
431,LA EXPLOSIVA BANDA DE MAZA,0.0,,"Te fuiste sin siquiera despedirte
Pensaste, ya después me buscará
Pues mira, te fallaron tus deseos
Y al final de cuentas, fuiste tú quien me rogó

Me niegas por orgullo a tus amigos
Y bajas la mirada por temor
Les mientes al decir que me olvidaste
Pues, nunca imaginaste llorar por este amor

Nadie sabe lo que tiene
Hasta que lo ve perdido

...


 ",24.0,388,LAMENTO DECIRLE,0,0,0,0,0,0,0,0,
432,SANTIAGO ARROYO,0.0,,"Soy de esos que no sueltan
Del selecto grupo que es muy bueno para sufrir
Ahí me encuentro yo, a raíz de que te fuiste
Y aunque sobran los motivos para odiarte
No consigo hacerme el fuerte, no es mi fuerte en el amor

No puedo no quererte, sacarte de mi vida
Cada escena que aparece que me besas
Me acuerdo y más me pesa

No puedo no llorarte borrarte de mi vida
...


 ",7.0,389,NO PUEDO NO LLORARTE,0,0,0,0,0,0,0,0,
433,"JORGE DOMINGUEZ, RAYITO COLOMBIANO",,,,,390,ALINE,0,0,0,0,0,0,0,0,
434,"LOS KASSINO DE CHUCHO PINTO, MISTER CHIVO",0.0,Latin,"Hagan una rueda a Juana porque ya empezó a bailar
Esa morena cubana nos va hacer hasta sudar
Baila este ritmo que es la pura sabrosura
Muevete mi negra que esta si es candela pura
Porque bailando tu eres reyna donde quieras
...


 ",15.0,391,JUANA LA CUBANA,0,0,0,0,0,0,1,1,
435,LA PODEROSA BANDA SAN JUAN,,,,20.0,392,MIENTRAS NO ME BUSQUES,,,,,,,,0,
436,FANO GAXIOLA,0.0,,"RESUMEN

LETRAS

ESCUCHAR

TAMBIÉN SE BUSCÓ

La mejor versión de mí
No la conociste tú
Porque siempre me frenaste
Con tu pésima actitud
Nunca pude ser quien era
Por amarte a tu manera
...


 ",8.0,393,LA MEJOR VERSION DE MI,0,0,0,0,0,1,0,1,
437,CLAUDIO ALCARAZ,,,,1.0,394,YO ME ACOPLO,,,,,,,,0,
438,LENIN RAMIREZ FT GRUPO FIRME,1.0,,"Compa, Edwin, échese esta rola
¡Jálese, mi compa Lenin!
Haz el camarón
Con un tragón, viejo, ¡páseselo!

¿Qué se siente ser feliz (uah)
Solamente cuando tomas?
No llenar ese vacío
Porque únicamente es mío
Por eso es que te abandonan

Y es que siempre ha sido así
Lo que quiero, lo consigo
A tu nombre alzo mi copa
Porque dormiré con otra
Y tú soñarás conmigo (uah)

...


 ",64.0,395,YO YA NO VUELVO CONTIGO,0,0,1,0,0,0,0,1,
439,INTOCABLE,0.0,Latin / Regional Mexicano,"Ya caminé mil caminos
Ya conocí mucha gente
Y por alguna razón regresas siempre a mi mente

Tantas preguntas que tengo
Y tú con tantas respuestas
Tu soledad y la mía hacían bonita pareja

¿Para qué quiero las alas si tú no vuelas conmigo?
La libertad también duele, se convierte en castigo
No me motiva la idea de buscar en otra boca
Si con tus besos, mi niña, me alcanza y hasta me sobra

Yo quiero ver que tus huellas se pinten junto a las mías
Porque la vida sin ti no puedo llamarle vida
...


 ",27.0,396,TU SOLEDAD Y LA MÍA,0,0,0,0,0,0,1,1,
440,LOS CAPIS DE SINALOA,,Latin / Regional Mexicano,,8.0,397,EL PERSEVERANTE,,,,,,,,0,
441,"GRUPO FIRME, BANDA LA SINALOENSE DE ALEX OJEDA",0.0,,"A veces siento
Que no puedo más
Me desespero
Y me siento mal

Ya lo he pensado y
No es normal
Que la traición esté
Creciendo más

Te miro y luego me arrepiento
Estoy con ella y me da por llorar
No sé si aguante este tormento
Ya no te quiero lastimar
...


 ",20.0,398,DECIDE TU,0,0,0,0,0,0,0,0,
442,LUIS ANTONIO LOPEZ EL MIMOSO,0.0,Latin,"En esta vida no se pudo
Despertarte en las mañanas
Con besos en tu cara
Recorrer contigo el mundo

En esta vida no hubo tiempo
Tal vez fue la mala suerte
De cruzarme en tu camino
En un mal momento

Pero ya no llores
Y por favor
Quita esa carita
Si en esta no se pudo
En la otra vida
Regálame una cita

...


 ",17.0,399,EN ESTA VIDA NO SE PUDO,0,0,0,0,0,0,0,0,
443,JUNIOR KLAN,,,,,400,A SANGRE FRIA,,,,,,,,0,
444,"JUANES, LALO EBRATT",0.0,Latin / Pop in Spanish,"Parce, venga, yo le digo una cosa hermano, vea
Esto es un vallenato

Se fue la plata, quedó la pena
Por tanta rumba pa' olvidarte
Por ti
Ya no hay manera
De consolarme
Si no me dejas enamorarte
Ya no hay manera
De consolarme
Si no me dejas enamorarte

Y ese besito que me diste en la boca
Me trae la mente loca
¿Por qué tu corazón es libre y viajero?
Si yo por vos, me muero

Si yo te quiero con el alma
Si yo te quiero hasta los huesos
Mi corazón no es solo tuyo
Pero por hoy yo te lo presto

(Otra vez)
Si yo te quiero con el alma
Si yo te quiero hasta los huesos
Mi corazón no es solo tuyo
Pero por hoy, yo te lo presto
Mi corazón no es solo tuyo
Pero por hoy, yo te lo presto
De Colombia para el mundo, papá

Eh oh
...


 ",34.0,401,LA PLATA,0,0,0,0,0,0,1,1,
445,LA SUPER CORONA DE RAFA BECERRA,0.0,Latin / Regional Mexicano,"Ya, decídete por unos de los dos
Tú sabes lo que ofrezco
El sushi time o caminar
Conmigo tú tendrás amor sincero

Yo, soy todo lo contrario pero así ya te quiero sin medida
Perfil buchón, camionetón
Conmigo que el desorden siga y siga

Ya decídete va a ser él o yo
Vas a preferir carros y el alcohol o una cena
...


 ",11.0,402,YA DECIDETE,0,0,0,0,0,0,0,0,
446,LENIN RAMIREZ,1.0,,"Soy hombre de una sola pieza y nunca he llorado por una princesa
De mujeres aquí ha habido desfiles me
Convertí en experto en dejar que se vayan
Tu lo cambiaste todo que hasta me desconozco

Contra mis principios aquí vengo bien borracho
Nunca imagine que te terminaría rogando
Tú me arrebataste lo cabrón que había en mi pecho
No se ni como, ni cuando te empecé a decir te quiero
...


 ",20.0,403,CONTRA MIS PRINCIPIOS,0,0,0,0,0,1,0,1,
447,GIOVANNI AYALA,0.0,Latin / Regional Mexicano,"Quítame la duda porque me destruye
¿Cuánto me hizo falta?, ¿qué tan cerca estuve?
De ser tu otra mitad, tu dueño y algo más
Pero, dime la verdad

Si tú te mirabas tan enamorada
Todo iba perfecto, al menos lo pensaba
Y de pronto algo pasó, no sé qué mosca te picó
¿Por qué cambiaste de opinión?

¿A cuánto me quedé de ser el amor de tu vida?
...


 ",18.0,404,A CUANTO ME QUEDE,0,0,0,0,0,0,0,0,
448,"EDWIN LUNA Y LA TRAKALOSA DE MONTERREY, ARTURO JAIMES",0.0,Latin,"Los cantantes
Y llegó Arturo Jaimes
Y Los Cantantes
Con Edwin Luna y la Trakalosa de Monterrey
¡Oh!

Precisamente ahora que tú ya te has ido
Me han dicho que has estado engañándome
¿Por qué de pronto tienes tantos enemigos?
¿Por qué tengo que andar disculpándote?

Si ellos están mintiendo, por favor, defiéndete
Yo sé que no lo harás, pues dicen la verdad
Es una pena, siempre seguirás doliéndome
Y culpable o no
¿Qué le puedo hacer ya?

Miénteme, como siempre
...


 ",26.0,405,CULPABLE O NO,0,0,1,0,0,0,0,1,
449,GERARDO ORTIZ,,,,,406,EGOISTA,,,,,,,,0,
450,"BANDA SANTA Y SAGRADA, EDWIN LUNA Y LA TRAKALOSA DE MONTERREY",,,,24.0,407,LA REINA DE MI ALMA,,,,,,,,0,
451,LA BANDONONONA RANCHO VIEJO,0.0,,"Sabes todo lo que me esforcé por tu amor
¿Y de qué diablos me sirvió?
Está bien, no me pidas perdón
Pues no lo sientes
Ya no me engañas, ahora no
Este loco tocó fondo en el dolor
De tu partida insensible
Sin explicación
No valoraste ese diamante
Que llevó por corazón

No encontrarás
En tus sueños quien ocupe mi lugar
Llorarás, llorarás
Al darte cuenta que has perdido
...


 ",12.0,1,LO QUE DAS RECIBIRÁS,0,0,0,0,0,0,1,1,
452,LOS YAGUARU,,,,1.0,409,YA NO LLUEVE EN MI,,,,,,,,0,
453,PESADO,0.0,,"Después de todo, no valió la pena
Tanto amor
Jamás imaginé que nuestra historia
Era ficción

Me hizo creer que todo iba perfecto
Entre los dos
Y cuando se cansó de estar fingiendo
Dijo adiós

De un solo golpe me dejó vacío
El corazón

Le di
...


 ",21.0,410,LE DI,0,0,0,0,0,0,1,1,
454,FANO GAXIOLA,,Latin,,6.0,411,LA COLORETEADA,,,,,,,,0,
455,REMMY VALENZUELA,0.0,Latin / Regional Mexicano,"Eso de amigos, no me mata
Ni me llenan los suspiros
Que salen de mi alma

Esos latidos, que se alteran
Con el roce de tu mano
En un saludo de una dama

Que no sabe lo que siento
Aquí, por dentro
Que de amor me estoy muriendo
Que me muero por sus besos

Te invito a que devores el respeto
Que me comas con tus besos
Y enamores lo prohibido

Te juro olvidaré eso de amigos
Cuando te bese el ombligo
Y empiecen los sentimientos

Te reto a que una noche bastará
Con un suspiro inundarás
Mi amor prohibido, hasta los huesos
...


 ",24.0,412,TE INVITO,1,0,1,1,0,0,0,1,
456,LOS BUITRES,,,,,413,DESPUÉS DE TI,,,,,,,,0,
457,LIBAN GARZA,0.0,Latin / Regional Mexicano,"Tú tienes lo que me gusta
Y no sé por dónde empezar a decirte
Que me traes enamorado
Que me ilusioné cuando me sonreíste

Quiero ser tu pensamiento
Y un caos de emociones causar en tu mente
Quiero volverte loquita cuando mis caricias recorran
Tu cuerpo que te hagas adicta al sabor de mis besos

Esa boquita me mata
Tú tienes lo que me encanta
Y tan solo te falta decir que me amas
...


 ",11.0,414,DE LA MANO CONTIGO,0,0,0,1,0,1,0,1,
458,"KAROL, NICKI MINAJ",1.0,Latin / Latin Urban,"¿Qué pasó contigo?
Dímelo, rrr
O-O-Ovy On The Drums (Mmh)

Ya no tiene excusa
Hoy salió con su amiga, dizque pa' matar la tusa
Que porque un hombre le pagó mal
Está dura y abusa
Se cansó de ser buena, ahora es ella quien los usa

Que porque un hombre le pagó mal
Ya no se le ve sentimental
Dice que por otro man no llora, no

Pero si le ponen la canción
Le da una depresión tonta
Llorando lo comienza a llamar
Pero él la dejó en buzón
Será porque con otra está
Fingiendo que a otra se puede amar

Pero hice todo este llanto por nada
Ahora soy una chica mala
And now you kickin' and screamin', a big toddler
Don't try to get your friends to come holla, holla
...


 ",77.0,415,TUSA,0,0,1,0,0,1,0,1,
459,"ALEJANDRO FERNANDEZ, VICENTE FERNANDEZ",,,,1.0,416,MENTI,,,,,,,,0,
460,SECH FEAT DARELL,1.0,,"Sigue aquí tomándose otro trago
Su ex-novio con otra está (Ah-ah)
Los amigos subieron un estado (Ah-ah-ah)
Que hoy de farra se van

Te cambió siendo mejor que ella (No-no-no-no, oh-oh)
Por mujeres y un par de botella' (No-no-no-no, oh-oh)
Por amigos que no son amigos en verda' (En verda', Ice)
Porque sé que te van a escribir cuando él se va
(Everybody go to the discotheque)

Y ahora a lo oscuro y sin disimulo
Olvidando la' pena', la pillé (Ah)
Ahora hace lo que quiere, cuando quiere (Oh-oh)
Y si no quiere, serás otro que se jode también

Cuando el DJ pone la música (Eso e' así)
Ella baila como nunca (Pa' que sepa)
Y ahora a lo oscuro y sin disimulo (Oh-oh)
Olvidando la' pena', la pillé (Ra-ta-ta-tá)

Cuando el DJ pone la música
Ella baila como nunca (The Real Rondón)
Ahora hace lo que quiere, cuando quiere
Y si no quiere, serás otro que se jode también
(Stop that shit, nigga)

Ahora pa' ella los días son grise' (Eso e' así)
Porque su' mañana' no son felice' (¡Ah!)
Lo que eran beso', ahora son cicatrice' (Pa' que sepa)
Está soltera y pa' la calle dice (Ra-ta-ta-tá)

...


 ",69.0,417,OTRO TRAGO,1,0,1,0,0,1,0,1,
461,RAMON RODRIGUEZ EL RR,,,,6.0,418,INVERTIR LOS PAPELES,,,,,,,,0,
462,ANUEL AA. ENRIQUE IGLESIAS,1.0,,"Champán y fútbol, y rumba (Wuh)
Y el reggaetón retumba
La fiesta no para y gastamo' la funda
La vida es una y no hay una segunda

Vamo' a bailar tú y yo, mujer
El party prender, pasarla bien
Hoy vamo' a rumbear, hoy vamo' a beber
Y del uno al 10, yo te doy 100

Vamo' a bailar tú y yo, mujer
El party prender, pasarla bien
Hoy vamo' a rumbear, hoy vamo' a beber
Y del uno al 10, yo te doy 100

Que viva la fiesta (Woh, oh)
Que la vida es una (Woh, oh)
De aquí no nos vamos (Woh, oh)
Que siga la rumba (Woh, oh; uah)

Bebiendo Hennessy, wheeleando en el Jetski, woh-oh
No me pelees, baby, que hoy yo estoy feliz
Empezamo' en la playa y nos vamo' pa' mi cama
Mueve el culo como bailan en Brasil

Baby, solo dame la señal (Uah)
Porque el alcohol a mí me tiene un poco mal
...


 ",24.0,419,FUTBOL Y RUMBA,1,0,1,1,0,1,0,1,
463,"NICKY JAM, DADDY YANKEE",0.0,,"D-D-D-D-D-D-Y
Nicky-Nicky-Nicky Jam
Play-N-Skillz
It's how we do with the new Play-N-Skillz, ah

Ná, na-na-na-ná, na-na-na-ná, na-na-na, na-na-na, na-na-na-ná
Ná, na-na-na-ná, na-na-na-ná, na-na-na, na-na-na, na-na-na-ná

Toda' la' mano' pa' arriba (Muévelo)
Con todo el flow en el aire (Muévelo)
Aquí to' el mundo vacila (Muévelo)
No vamo' a parar

Rompemo' la fiesta (Muévelo)
Somo' la candela (Muévelo)
Disculpe, señor oficial (Muévelo)
Hoy vamo' a rumbear

Esto está duro, esto no 'tá easy
E-en la discoteca hay un apocalipsis
Ese booty que tú tiene', baby, es un arma
To-to'as las nena' ready, Nicky Jam apretó la alarma

Pa' que baje' (Eh)
Prueba este veneno que te traje (Eh)
Tengo pa' llenarte ese garaje
A tu cuerpo le hago un homenaje
...


 ",26.0,420,MUEVELO,0,0,0,0,0,1,0,1,
464,FERNANDO GIL,0.0,World / South America,"Yo mucho trabajo para darte todo lo que te mereces preguntale a Dios
Y se que el te dira que he pagado mil veces tu
Fidelidad me la supe ganar porque soy fiel contigo
Como es que ahora me dices,
Que de mi piensas irte... porque te falta amor...

Como dices tu, que te falta amor
Si mi amor eres tu, eres mi religión
Me desvivo por ti, yo me mato por ti
Y no puedo dejar que me digas adiós

Como dices tu, que no te amo yo
Busca dentro de ti, y seguro hallaras
Los momentos de amor, la pasión tan voraz
Que yo te hago sentir y que me sabes dar.

Yo se que tal vez, descuide tu querer
...


 ",9.0,421,COMO DICES TU,1,1,1,1,1,1,1,1,
465,LILA DOWNS,0.0,Latin / Raices,"Lloro por quererte
Por amarte y por desearte
Lloro por quererte
Por amarte y por desearte

Ay, cariño
Ay, mi vida
Nunca, pero nunca
Me abandones, cariñito
...


 ",22.0,423,CARIÑITO,0,0,1,0,0,0,0,1,
466,LUCIANO PEREYRA FT LUCERO,0.0,Pop,"Regálame un momento sólo para hablarte
Ya sé, no me conoces, vine a presentarme
Te vi, no sé cómo perdí todo este tiempo
Si me prestas un beso, yo, te lo devuelvo

Te juro que no sé qué me pasó
Que estoy alucinando por tu amor
No había sentido esto
Te sueño despierta, me ahogo en suspiros

Ya le pedí a la virgen de Luján
Y ahora que te veo en este lugar
Entiendo que contigo, cosita preciosa
Tendría cien hijos

Y que sean como tú
Con eso ojos que enamoran
Con esa risa encantadora
Tus manos, tu pelo, tu cara bonita

Y que sean como tú
Porque como tú no hay otra
Por un beso de tu boca
Te juro sin dudas daría mi vida

Oh-oh
Oh-oh
Oh-oh
Eh-eh

...


 ",20.0,424,COMO TU,0,0,1,0,0,1,0,1,
467,ELIDIAN,0.0,Latin,"Y esto es
Con Elidian

Ando buscando una chica
Que quiera ir a gozar
Porque esta noche es de fiesta
Y quiero hacerla vibrar

Quiero sentirme en las nubes
Y quiero hacerla volar
Que nuestras almas se pierdan
Juntos en la oscuridad

Ando buscando a un chico
...


 ",10.0,425,UNA NOCHE DE FIESTA,0,0,0,1,0,1,0,1,
468,LOS LIRICOS JR. FT. IMPERIO CALAVERA,,Music,,1.0,426,TU PERFUME,,,,,,,,0,
469,"LOS 2 DE LA S, BANDA MS",0.0,Latin / Regional Mexicano,"Yo de esta vida
Que voy a llevarme tan solo son las vivencias
No tengo tiempo para andarme con tristezas
Saquénse unos cuartitos, también unas guitarras
Pa' cantar canciones buenas

Ya he conocido cosas
Que ni siquiera por la mente me pasaban
Yo soy el mismo, no se me sube nada
Porque hay principios, sencillez y humildad
Y lo que sobra es palabra

Soy un afortunado por tener mi familia
Y amigos que me quieren
Este corazón es para todos ustedes
La vida es una fiesta
Y hay que saber gozarla y bailarla como viene

En esta vida tan solo es cuestión de irle agarrando el lado
Mañana no sé si amanezca vivo ya para contarlo
Les agradezco a mis padres por la vida
...


 ",22.0,427,SOMOS LO QUE SOMOS,0,1,0,0,0,0,0,1,
470,LOS CARDENALES DE NUEVO LEON,,,,,428,SORPRENDEME,,,,,,,,0,
471,MONTEZ DE DURANGO,0.0,Latin / Regional Mexicano,"Recuerdo el amor que hasta ayer me jurabas
Las noches de idilio en que todo lo dabas
La luna que fue fiel testigo de lo que existió

Palabras del alma que el tiempo desgasta
Promesas de amor que en la brisa se apagan
Caricias de miel que las olas del mar se llevó

Se te olvidó
Cuando decías que te hiciera eternamente mía
Y te entregabas hasta el fin
Para beber del agua pura de mi amor
...


 ",20.0,429,SE TE OLVIDO,0,0,0,1,0,0,0,1,
472,GRUPO ARRANKE,0.0,Latin,"Quisiera morirme en una buena peda
Porque esto de amarte me trajo problemas
A través del vaso ya miro tu cara
Las ganas de verte no se van con nada

Tengo mucha prisa por ir a buscarte
Luego me arrepiento, me gana el coraje
Fue la decepción más grande que he tenido
Lo que tú me hiciste es lo peor que he vivido

...


 ",16.0,430,A TRAVES DEL VASO,1,0,1,0,0,1,0,1,
473,KIKIN Y LOS ASTROS,,,,13.0,431,HOY QUE TE PIERDO,,,,,,,,0,
474,"SHAKIRA, ANUEL AA",0.0,Latin / Latin Urban,"A la la la la long
A la la la la long long li long long long (Oh, yeah)
A la la la la long, a la la la la long long li long long long

Aclaremos que oscurece (Baby)
Dejémosno ya de estupideces (Uah)
Llevamos peleando par de meses
Y ya yo te lo he dicho tantas veces

Trato de empezar una conversación (Yeah-yeah-yeah-yeah)
Pero no me das ni un poco de tu atención (Ah, ah)
Quieres siempre hacer lo que te da la gana (Yeah-yeah-yeah-yeah)
Pero quieres arreglar todo en la cama
Pero no pienses eso, mami

Me gusta (Uah)
Cuando yo te tengo como Dios te trajo al mundo
Desnuda (Uah)
¿De dónde salió tanta maldad y tanta ricura?

Me gusta
Eso que me dices, pero sé que son excusas
No hay duda
Dices que me quieres, pero siento que me usas

A la la la la long
...


 ",69.0,432,ME GUSTA,1,0,1,1,0,1,0,1,
475,LOS CARDENALES DE NUEVO LEON,,,,,433,COMPRE UNA CANTINA,,,,,,,,0,
476,CHICO CHE CHICO,,Latin / Salsa y Tropical,,11.0,434,MACORINA,,,,,,,,0,
477,"LOS ANGELES AZULES, MIGUEL BOSE",0.0,Latin / Regional Mexicano,"¿Qué es morir de amor
Morir de amor por dentro?
Es quedarme sin tu luz
Es perderte en un momento

¿Cómo puedo yo
Decirte que lo siento?
Que tu ausencia es mi dolor
Que yo sin tu amor, me muero

Morir de amor
Despacio y en silencio sin saber
Si todo lo que he dado, te llegó
A tiempo

Morir de amor
Que no morirse solo en desamor
Y no tener un nombre que decirle
...


 ",32.0,435,MORIR DE AMOR,0,0,0,0,0,0,1,1,
478,LOS VALEDORES DE LA SIERRA,,Latin,,18.0,436,PROMESAS,,,,,,,,0,
479,TAVO ESCALANTE,0.0,Latin / Regional Mexicano,"Debes buscarte un nuevo amor
Que no guarde sus problemas
Que no sea como yo a la hora de la cena
Que cuando muera de celos
Él jamas te diga nada
Que no tenga como yo tantas heridas en el alma

Debes buscarte un nuevo amor
Que sea todo un caballero
Que tenga una profesión
Sin problemas de dinero
Sea amigo de tus amigos
Simpatice con tus padres
Y que nunca hable de más
Que no pueda lastimarte

Pero vida me conoces desde siempre
Y ahora tengo que decir
Siempre digo lo que siento

Que no vas a encontrar nunca
Con quien mirar las estrellas
Alguien que pueda bajarte
Con un beso una de ellas
...


 ",4.0,437,UN NUEVO AMOR,0,0,1,0,1,1,0,1,
480,"RAYMIX, JUANES",0.0,Latin / Salsa y Tropical,"Oye, mujer
Lo que has provocado en mí
No tengo explicación
Me hundo en la emoción
¿Qué sucede?

Oye, mujer
Tú me has conquistado y yo
Ni como decir lo que yo haría por ti
Yo te amo

Oye, mujer
Yo solo quiero darte un beso y no más
Decirte lo que siento
...


 ",31.0,438,OYE MUJER,0,0,0,0,0,0,1,1,
481,"NATTI NATASHA, ROMEO SANTOS",1.0,,"La mejor versión de mí, no la conociste tú
Porque siempre me frenaste con tu pésima actitud
Nunca pude ser quien era por amarte a tu manera
Me olvidé hasta de ser yo
Let me finish this track (Remix)

La mejor versión de ti, no la he merecido yo
Reconozco cada fallo, estropeé tu corazón
Por complejos de ser rey, mi forma devastadora
Ignoraba tu corona

Y hoy se cambian los papeles, acabó mi suerte
Los llantos que he causado, los pago con creces
Por mi dictadura, por mis idioteces
Termino en un remix sufriendo por perderte

Es que estoy aquí
Observando la mejor versión de ti (Oh uoh oh, uh uh uh)
...


 ",67.0,439,LA MEJOR DE MI REMIX,1,0,0,0,0,1,0,1,
482,PAOLO RUBBOLI,0.0,,"Creí enamorado ilusionado siempre en ti
Quisiera darte lo que nunca te ofrecí
Y sin pensarlo justo ahora
Te perdí, te perdí

Y fui perdiendo la razón
De no tener tu corazón
Regresa, me he vuelto un loco sin tu amor

Pasaste un ratito conmigo
Bailamos y yo no te olvido
¿Dónde estás? ¿Junto al mar?
Estarás pensando en lo que habría sido

Más cumbia con amor

Se va rompiendo esa mentira en mi cabeza
Me da mil vueltas y me mata tu belleza
...


 ",12.0,440,PASASTE  UN RATITO,0,0,0,0,0,0,1,1,
483,LOS SUPER CARACOLES,,,,11.0,441,EL DE LA TANGUITA ROJA,,,,,,,,0,
484,ENIGMA NORTEÑO,0.0,Latin / Regional Mexicano,"Me sobran los dedos de una mano
También me sobran motivos
Para contabilizar traiciones
De los que se dicen ser amigos

Cuando te volteas, la cosa empieza a cambiar
Solo a las espaldas es cuando saben hablar
La gente de ahora es pura envidia
Ya no saben de amistad

La gente de ahora es muy fijada
Nunca dan pisada si huarache
Si trabajas duro la jornada
Dicen que eres un tacuache

Si dejas el piojo y te empiezas alivianar
También hay enojo al mirarte superar
Ya se le subió aquel fulanito
...


 ",18.0,442,LA GENTE DE AHORA,0,0,0,0,0,0,1,1,
